dataset,model,acc_mean,acc_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
BreastCancer,GradientBoosting,0.9666200900481291,0.008557093743315218,0.9639775091819083,0.009473278442410171,0.9920475046662404,0.0036128915406412154
BreastCancer,MMTNet,0.9841794752367644,0.006572898099533008,0.9830341442853531,0.0069739309258438804,0.9962802439096248,0.0027658878694313254
BreastCancer,RandomForest,0.9666356155876418,0.010181889812786825,0.9642127785012722,0.010890203163753978,0.9898047197916178,0.007860176848469923
BreastCancer,SVM-RBF,0.9771619313771154,0.004259603725453851,0.9755716822892729,0.004438727658994605,0.9960113393539531,0.0031860877716992056
Iris,GradientBoosting,0.9466666666666667,0.05811865258054231,0.9443943191311612,0.06244204073563825,0.9876666666666665,0.008919392106839815
Iris,MMTNet,0.9266666666666667,0.0573488351136175,0.9254056283077686,0.058800680763646716,0.992,0.013556466271775192
Iris,RandomForest,0.9533333333333334,0.04521553322083511,0.952172096908939,0.04733422566248831,0.9943333333333333,0.0035901098714230502
Iris,SVM-RBF,0.9400000000000001,0.04898979485566355,0.9383951139571007,0.05101636006044832,0.999,0.0013333333333333142
Wine,GradientBoosting,0.9607936507936508,0.037587891458262954,0.9625339766763791,0.035633454341144045,0.9952642727642728,0.009471454471454479
Wine,MMTNet,0.9833333333333332,0.022222222222222233,0.9839359672390525,0.020893994447453757,0.9981584156584157,0.0022568481935982014
Wine,RandomForest,0.9774603174603176,0.020875279013045846,0.9779896323072104,0.020402891966387043,0.9993145743145743,0.0008865949298300498
Wine,SVM-RBF,0.9777777777777779,0.03239417719358502,0.9777306083800206,0.03205722702765582,0.9993106893106894,0.0013786213786213697
